"Date Time, GMT+00:00","Abs Pres, kPa"
15/07/19 12:23:14,102.351
15/07/19 12:23:16,102.255
15/07/19 12:23:18,102.856
15/07/19 12:23:20,102.604
15/07/19 12:23:22,102.339
15/07/19 12:23:24,102.904
15/07/19 12:23:26,102.507
15/07/19 12:23:28,102.664
15/07/19 12:23:30,102.748
15/07/19 12:23:32,102.351
15/07/19 12:23:34,102.748
15/07/19 12:23:36,102.7
15/07/19 12:23:38,102.351
15/07/19 12:23:40,102.784
15/07/19 12:23:42,102.459
15/07/19 12:23:44,102.664
15/07/19 12:23:46,102.772
15/07/19 12:23:48,102.375
15/07/19 12:23:50,102.555
15/07/19 12:23:52,102.796
15/07/19 12:23:54,102.579
15/07/19 12:23:56,102.327
15/07/19 12:23:58,102.94
15/07/19 12:24:00,102.579
15/07/19 12:24:02,102.423
15/07/19 12:24:04,102.76
15/07/19 12:24:06,102.363
15/07/19 12:24:08,102.664
15/07/19 12:24:10,102.7
15/07/19 12:24:12,102.375
15/07/19 12:24:14,102.784
15/07/19 12:24:16,102.459
15/07/19 12:24:18,102.519
15/07/19 12:24:20,102.7
15/07/19 12:24:22,102.555
15/07/19 12:24:24,102.543
15/07/19 12:24:26,102.351
15/07/19 12:24:28,102.856
15/07/19 12:24:30,102.628
15/07/19 12:24:32,102.339
15/07/19 12:24:34,102.832
15/07/19 12:24:36,102.592
15/07/19 12:24:38,102.327
15/07/19 12:24:40,102.531
15/07/19 12:24:42,102.796
15/07/19 12:24:44,102.543
15/07/19 12:24:46,102.327
15/07/19 12:24:48,102.784
15/07/19 12:24:50,102.724
15/07/19 12:24:52,102.387
15/07/19 12:24:54,102.507
15/07/19 12:24:56,102.736
15/07/19 12:24:58,102.531
15/07/19 12:25:00,102.375
15/07/19 12:25:02,102.724
15/07/19 12:25:04,102.808
15/07/19 12:25:06,102.399
15/07/19 12:25:08,102.327
15/07/19 12:25:10,102.832
15/07/19 12:25:12,102.904
15/07/19 12:25:14,102.387
15/07/19 12:25:16,102.7
15/07/19 12:25:18,102.892
15/07/19 12:25:20,102.375
15/07/19 12:25:22,102.676
15/07/19 12:25:24,102.868
15/07/19 12:25:26,102.387
15/07/19 12:25:28,102.676
15/07/19 12:25:30,102.507
15/07/19 12:25:32,102.567
15/07/19 12:25:34,102.796
15/07/19 12:25:36,102.411
15/07/19 12:25:38,102.64
15/07/19 12:25:40,102.519
15/07/19 12:25:42,102.628
15/07/19 12:25:44,102.7
15/07/19 12:25:46,102.339
15/07/19 12:25:48,102.868
15/07/19 12:25:50,102.64
15/07/19 12:25:52,102.327
15/07/19 12:25:54,102.796
15/07/19 12:25:56,102.616
15/07/19 12:25:58,102.339
15/07/19 12:26:00,102.76
15/07/19 12:26:02,102.664
15/07/19 12:26:04,102.351
15/07/19 12:26:06,102.784
15/07/19 12:26:08,102.82
15/07/19 12:26:10,102.399
15/07/19 12:26:12,102.592
15/07/19 12:26:14,102.772
15/07/19 12:26:16,102.519
15/07/19 12:26:18,102.339
15/07/19 12:26:20,102.868
15/07/19 12:26:22,102.748
15/07/19 12:26:24,102.375
15/07/19 12:26:26,102.712
15/07/19 12:26:28,102.664
15/07/19 12:26:30,102.375
15/07/19 12:26:32,102.724
15/07/19 12:26:34,102.808
15/07/19 12:26:36,102.447
15/07/19 12:26:38,102.567
15/07/19 12:26:40,102.688
15/07/19 12:26:42,102.604
15/07/19 12:26:44,102.604
15/07/19 12:26:46,102.579
15/07/19 12:26:48,102.712
15/07/19 12:26:50,102.483
15/07/19 12:26:52,102.628
15/07/19 12:26:54,102.688
15/07/19 12:26:56,102.375
15/07/19 12:26:58,102.784
15/07/19 12:27:00,102.784
15/07/19 12:27:02,102.411
15/07/19 12:27:04,102.507
15/07/19 12:27:06,102.82
15/07/19 12:27:08,102.724
15/07/19 12:27:10,102.387
15/07/19 12:27:12,102.555
15/07/19 12:27:14,103
15/07/19 12:27:16,102.579
15/07/19 12:27:18,102.363
15/07/19 12:27:20,102.844
15/07/19 12:27:22,102.519
15/07/19 12:27:24,102.616
15/07/19 12:27:26,102.592
15/07/19 12:27:28,102.543
15/07/19 12:27:30,102.796
15/07/19 12:27:32,102.531
15/07/19 12:27:34,102.459
15/07/19 12:27:36,102.928
15/07/19 12:27:38,102.519
15/07/19 12:27:40,102.567
15/07/19 12:27:42,102.76
15/07/19 12:27:44,102.363
15/07/19 12:27:46,102.808
15/07/19 12:27:48,102.82
15/07/19 12:27:50,102.375
15/07/19 12:27:52,102.76
15/07/19 12:27:54,102.724
15/07/19 12:27:56,102.435
15/07/19 12:27:58,102.748
15/07/19 12:28:00,102.616
15/07/19 12:28:02,102.555
15/07/19 12:28:04,102.676
15/07/19 12:28:06,102.652
15/07/19 12:28:08,102.616
15/07/19 12:28:10,102.616
15/07/19 12:28:12,102.628
15/07/19 12:28:14,102.64
15/07/19 12:28:16,102.652
15/07/19 12:28:18,102.471
15/07/19 12:28:20,102.808
15/07/19 12:28:22,102.784
15/07/19 12:28:24,102.351
15/07/19 12:28:26,102.94
15/07/19 12:28:28,102.808
15/07/19 12:28:30,102.351
15/07/19 12:28:32,102.772
15/07/19 12:28:34,102.832
15/07/19 12:28:36,102.652
15/07/19 12:28:38,102.483
15/07/19 12:28:40,102.628
15/07/19 12:28:42,102.928
15/07/19 12:28:44,102.519
15/07/19 12:28:46,102.616
15/07/19 12:28:48,102.928
15/07/19 12:28:50,102.435
15/07/19 12:28:52,102.676
15/07/19 12:28:54,102.76
15/07/19 12:28:56,102.676
15/07/19 12:28:58,102.483
15/07/19 12:29:00,102.652
15/07/19 12:29:02,102.988
15/07/19 12:29:04,102.483
15/07/19 12:29:06,102.7
15/07/19 12:29:08,103.06
15/07/19 12:29:10,102.459
15/07/19 12:29:12,102.712
15/07/19 12:29:14,102.928
15/07/19 12:29:16,102.399
15/07/19 12:29:18,102.688
15/07/19 12:29:20,102.844
15/07/19 12:29:22,102.628
15/07/19 12:29:24,102.784
15/07/19 12:29:26,102.507
15/07/19 12:29:28,102.832
15/07/19 12:29:30,102.88
15/07/19 12:29:32,102.351
15/07/19 12:29:34,102.892
15/07/19 12:29:36,102.82
15/07/19 12:29:38,102.375
15/07/19 12:29:40,102.988
15/07/19 12:29:42,102.736
15/07/19 12:29:44,102.543
15/07/19 12:29:46,103.012
15/07/19 12:29:48,102.483
15/07/19 12:29:50,102.796
15/07/19 12:29:52,102.892
15/07/19 12:29:54,102.628
15/07/19 12:29:56,102.784
15/07/19 12:29:58,102.604
15/07/19 12:30:00,102.976
15/07/19 12:30:02,102.628
15/07/19 12:30:04,102.592
15/07/19 12:30:06,103.012
15/07/19 12:30:08,102.64
15/07/19 12:30:10,102.724
15/07/19 12:30:12,102.844
15/07/19 12:30:14,102.82
15/07/19 12:30:16,102.736
15/07/19 12:30:18,102.712
15/07/19 12:30:20,102.988
15/07/19 12:30:22,102.724
15/07/19 12:30:24,102.712
15/07/19 12:30:26,102.82
15/07/19 12:30:28,102.712
15/07/19 12:30:30,102.88
15/07/19 12:30:32,102.748
15/07/19 12:30:34,102.7
15/07/19 12:30:36,103.048
15/07/19 12:30:38,102.579
15/07/19 12:30:40,102.82
15/07/19 12:30:42,102.988
15/07/19 12:30:44,102.483
15/07/19 12:30:46,102.952
15/07/19 12:30:48,102.856
15/07/19 12:30:50,102.7
15/07/19 12:30:52,102.856
15/07/19 12:30:54,102.856
15/07/19 12:30:56,102.82
15/07/19 12:30:58,102.832
15/07/19 12:31:00,102.772
15/07/19 12:31:02,102.808
15/07/19 12:31:04,102.736
15/07/19 12:31:06,102.928
15/07/19 12:31:08,102.796
15/07/19 12:31:10,102.688
15/07/19 12:31:12,102.94
15/07/19 12:31:14,102.964
15/07/19 12:31:16,102.567
15/07/19 12:31:18,102.748
15/07/19 12:31:20,102.964
15/07/19 12:31:22,102.856
15/07/19 12:31:24,102.688
15/07/19 12:31:26,102.796
15/07/19 12:31:28,102.988
15/07/19 12:31:30,102.688
15/07/19 12:31:32,102.724
15/07/19 12:31:34,102.844
15/07/19 12:31:36,102.928
15/07/19 12:31:38,102.964
15/07/19 12:31:40,102.567
15/07/19 12:31:42,102.76
15/07/19 12:31:44,103.06
15/07/19 12:31:46,102.76
15/07/19 12:31:48,102.7
15/07/19 12:31:50,102.904
15/07/19 12:31:52,102.808
15/07/19 12:31:54,102.676
15/07/19 12:31:56,102.868
15/07/19 12:31:58,102.844
15/07/19 12:32:00,102.832
15/07/19 12:32:02,102.892
15/07/19 12:32:04,102.712
15/07/19 12:32:06,102.736
15/07/19 12:32:08,102.952
15/07/19 12:32:10,102.748
15/07/19 12:32:12,102.688
15/07/19 12:32:14,102.976
15/07/19 12:32:16,102.688
15/07/19 12:32:18,102.892
15/07/19 12:32:20,102.808
15/07/19 12:32:22,102.64
15/07/19 12:32:24,102.988
15/07/19 12:32:26,102.7
15/07/19 12:32:28,102.76
15/07/19 12:32:30,102.916
15/07/19 12:32:32,102.724
15/07/19 12:32:34,102.868
15/07/19 12:32:36,102.772
15/07/19 12:32:38,102.892
15/07/19 12:32:40,102.82
15/07/19 12:32:42,102.592
15/07/19 12:32:44,102.892
15/07/19 12:32:46,102.832
15/07/19 12:32:48,102.531
15/07/19 12:32:50,102.976
15/07/19 12:32:52,102.928
15/07/19 12:32:54,102.447
15/07/19 12:32:56,102.916
15/07/19 12:32:58,102.904
15/07/19 12:33:00,102.7
15/07/19 12:33:02,102.748
15/07/19 12:33:04,102.832
15/07/19 12:33:06,102.94
15/07/19 12:33:08,102.664
15/07/19 12:33:10,102.676
15/07/19 12:33:12,103.06
15/07/19 12:33:14,102.76
15/07/19 12:33:16,102.592
15/07/19 12:33:18,102.916
15/07/19 12:33:20,102.88
15/07/19 12:33:22,102.724
15/07/19 12:33:24,102.772
