"Date Time GMT+00:00","Abs Pres kPa"
15/07/10 17:22:58,103.408
15/07/10 17:23:00,103.42
15/07/10 17:23:02,103.42
15/07/10 17:23:04,103.408
15/07/10 17:23:06,103.42
15/07/10 17:23:08,103.432
15/07/10 17:23:10,103.432
15/07/10 17:23:12,103.444
15/07/10 17:23:14,103.432
15/07/10 17:23:16,103.408
15/07/10 17:23:18,103.432
15/07/10 17:23:20,103.456
15/07/10 17:23:22,103.432
15/07/10 17:23:24,103.396
15/07/10 17:23:26,103.396
15/07/10 17:23:28,103.432
15/07/10 17:23:30,103.432
15/07/10 17:23:32,103.42
15/07/10 17:23:34,103.444
15/07/10 17:23:36,103.444
15/07/10 17:23:38,103.408
15/07/10 17:23:40,103.42
15/07/10 17:23:42,103.456
15/07/10 17:23:44,103.444
15/07/10 17:23:46,103.444
15/07/10 17:23:48,103.456
15/07/10 17:23:50,103.444
15/07/10 17:23:52,103.444
15/07/10 17:23:54,103.468
15/07/10 17:23:56,103.456
15/07/10 17:23:58,103.444
15/07/10 17:24:00,103.432
15/07/10 17:24:02,103.456
15/07/10 17:24:04,103.456
15/07/10 17:24:06,103.468
15/07/10 17:24:08,103.468
15/07/10 17:24:10,103.444
15/07/10 17:24:12,103.456
15/07/10 17:24:14,103.48
15/07/10 17:24:16,103.456
15/07/10 17:24:18,103.444
15/07/10 17:24:20,103.456
15/07/10 17:24:22,103.456
15/07/10 17:24:24,103.468
15/07/10 17:24:26,103.468
15/07/10 17:24:28,103.456
15/07/10 17:24:30,103.456
15/07/10 17:24:32,103.504
15/07/10 17:24:34,103.48
15/07/10 17:24:36,103.444
15/07/10 17:24:38,103.456
15/07/10 17:24:40,103.48
15/07/10 17:24:42,103.468
15/07/10 17:24:44,103.48
15/07/10 17:24:46,103.504
15/07/10 17:24:48,103.492
15/07/10 17:24:50,103.504
15/07/10 17:24:52,103.492
15/07/10 17:24:54,103.468
15/07/10 17:24:56,103.456
15/07/10 17:24:58,103.48
15/07/10 17:25:00,103.504
15/07/10 17:25:02,103.516
15/07/10 17:25:04,103.516
15/07/10 17:25:06,103.48
15/07/10 17:25:08,103.468
15/07/10 17:25:10,103.504
15/07/10 17:25:12,103.504
15/07/10 17:25:14,103.504
15/07/10 17:25:16,103.516
15/07/10 17:25:18,103.504
15/07/10 17:25:20,103.48
15/07/10 17:25:22,103.48
15/07/10 17:25:24,103.528
15/07/10 17:25:26,103.516
15/07/10 17:25:28,103.504
15/07/10 17:25:30,103.54
15/07/10 17:25:32,103.528
15/07/10 17:25:34,103.504
15/07/10 17:25:36,103.516
15/07/10 17:25:38,103.492
15/07/10 17:25:40,103.48
15/07/10 17:25:42,103.504
15/07/10 17:25:44,103.528
15/07/10 17:25:46,103.528
15/07/10 17:25:48,103.516
15/07/10 17:25:50,103.516
15/07/10 17:25:52,103.528
15/07/10 17:25:54,103.516
15/07/10 17:25:56,103.516
15/07/10 17:25:58,103.516
15/07/10 17:26:00,103.54
15/07/10 17:26:02,103.528
15/07/10 17:26:04,103.528
15/07/10 17:26:06,103.528
15/07/10 17:26:08,103.54
15/07/10 17:26:10,103.528
15/07/10 17:26:12,103.54
15/07/10 17:26:14,103.564
15/07/10 17:26:16,103.552
15/07/10 17:26:18,103.516
15/07/10 17:26:20,103.504
15/07/10 17:26:22,103.54
15/07/10 17:26:24,103.552
15/07/10 17:26:26,103.552
15/07/10 17:26:28,103.54
15/07/10 17:26:30,103.528
15/07/10 17:26:32,103.48
15/07/10 17:26:34,103.516
15/07/10 17:26:36,103.564
15/07/10 17:26:38,103.576
15/07/10 17:26:40,103.552
15/07/10 17:26:42,103.54
15/07/10 17:26:44,103.54
15/07/10 17:26:46,103.552
15/07/10 17:26:48,103.552
15/07/10 17:26:50,103.564
15/07/10 17:26:52,103.564
15/07/10 17:26:54,103.564
15/07/10 17:26:56,103.54
15/07/10 17:26:58,103.54
15/07/10 17:27:00,103.54
15/07/10 17:27:02,103.528
15/07/10 17:27:04,103.552
15/07/10 17:27:06,103.576
15/07/10 17:27:08,103.588
15/07/10 17:27:10,103.588
15/07/10 17:27:12,103.576
15/07/10 17:27:14,103.552
15/07/10 17:27:16,103.516
15/07/10 17:27:18,103.48
15/07/10 17:27:20,103.492
15/07/10 17:27:22,103.552
15/07/10 17:27:24,103.624
15/07/10 17:27:26,103.672
15/07/10 17:27:28,103.648
15/07/10 17:27:30,103.576
15/07/10 17:27:32,103.444
15/07/10 17:27:34,103.36
15/07/10 17:27:36,103.432
15/07/10 17:27:38,103.588
15/07/10 17:27:40,103.768
15/07/10 17:27:42,103.828
15/07/10 17:27:44,103.648
15/07/10 17:27:46,103.42
15/07/10 17:27:48,103.276
15/07/10 17:27:50,103.408
15/07/10 17:27:52,103.648
15/07/10 17:27:54,103.78
15/07/10 17:27:56,103.66
15/07/10 17:27:58,103.48
15/07/10 17:28:00,103.48
15/07/10 17:28:02,103.612
15/07/10 17:28:04,103.624
15/07/10 17:28:06,103.492
